exposure_type,cc_step,cc_rating,gi
1,0,AAA ,0
1,1,AA,0
1,2,A,0
1,3,BBB,0
1,4,BB,0
1,5,B,0
1,6,CCC or lower,0
1,7,Unrated,0
2,0,AAA,0.12
2,1,AA,0.12
2,2,A,0.21
2,3,BBB,0.27
2,4,BB,0.73
2,5,B,0.73
2,6,CCC or lower,0.73
2,7,Unrated,0.73
3,0,AAA,0
3,1,AA,0.12
3,2,A,0.21
3,3,BBB,0.27
3,4,BB,0.73
3,5,B,0.73
3,6,CCC or lower,0.73
3,7,Unrated,0.73
4,0,AAA,0.12
4,1,AA,0.12
4,2,A,0.21
4,3,BBB,0.27
4,4,BB,0.73
4,5,B,0.73
4,6,CCC or lower,0.73
4,7,Unrated,0.73
5,0,AAA,0
5,1,AA,0
5,2,A,0.12
5,3,BBB,0.21
5,4,BB,0.27
5,5,B,0.73
5,6,CCC or lower,0.73
5,7,Unrated,0.73
