country_isocode,AT,BE,CH,CZ,DE,DK,ES,FI,FR,UK,HU,IE,IS,LU,NL,NO,PL,SE,SI,GU,MA,SM,RE
AT,1.0,0.25,0.5,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.5,0.0,0,0.25,0.25,0.0,0.0,0.0,0.5,0,0,0,0
BE,0.25,1.0,0.25,0.25,0.5,0.25,0.0,0.0,0.5,0.5,0.0,0.25,0,0.75,0.75,0.0,0.25,0.0,0.0,0,0,0,0
CH,0.5,0.25,1.0,0.25,0.25,0.0,0.25,0.0,0.5,0.0,0.25,0.0,0,0.25,0.25,0.0,0.0,0.0,0.25,0,0,0,0
CZ,0.25,0.25,0.25,1.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0,0.25,0.25,0.0,0.25,0.0,0.25,0,0,0,0
DE,0.25,0.5,0.25,0.25,1.0,0.5,0.0,0.0,0.5,0.25,0.0,0.25,0,0.5,0.5,0.25,0.5,0.0,0.0,0,0,0,0
DK,0.0,0.25,0.0,0.0,0.5,1.0,0.0,0.0,0.25,0.25,0.0,0.0,0,0.25,0.5,0.5,0.25,0.5,0.0,0,0,0,0
ES,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
FI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.25,0.0,0.25,0.0,0,0,0,0
FR,0.25,0.5,0.5,0.25,0.5,0.25,0.25,0.0,1.0,0.25,0.0,0.0,0,0.5,0.5,0.0,0.0,0.0,0.0,0,0,0,0
UK,0.0,0.5,0.0,0.0,0.25,0.25,0.0,0.0,0.25,1.0,0.0,0.5,0,0.25,0.5,0.25,0.0,0.0,0.0,0,0,0,0
HU,0.5,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,0,0,0,0
IE,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0,0.25,0.25,0.0,0.0,0.0,0.0,0,0,0,0
IS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
LU,0.25,0.75,0.25,0.25,0.5,0.25,0.0,0.0,0.5,0.25,0.0,0.25,0,1.0,0.5,0.25,0.25,0.0,0.0,0,0,0,0
NL,0.25,0.75,0.25,0.25,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.25,0,0.5,1.0,0.25,0.25,0.0,0.0,0,0,0,0
NO,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.25,0.0,0.25,0.0,0.0,0,0.25,0.25,1.0,0.0,0.5,0.0,0,0,0,0
PL,0.0,0.25,0.0,0.25,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25,0.25,0.0,1.0,0.0,0.0,0,0,0,0
SE,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,0.0,1.0,0.0,0,0,0,0
SI,0.5,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
GU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0
MA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0
SM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0
RE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
