cresta_zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,1.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.5,0.5,0.25,0,0.75,0.75,0.25,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0
2,0.25,1.0,0.75,0.5,0.5,1.0,0.25,1.0,0.25,0.25,0.25,0,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0
3,0.0,0.75,1.0,0.5,0.5,0.5,0.25,1.0,0.25,0.0,0.25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.5,0.5,1.0,1.0,0.75,1.0,0.5,0.25,0.25,0.5,0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.25,1.0,0.5,0.5,0.75,1.0,0.5,0.75,0.5,0.5,0.5,0,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0
7,0.25,0.25,0.25,0.5,1.0,0.5,1.0,0.25,0.5,0.5,1.0,0,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0
8,0.25,1.0,1.0,0.5,0.5,0.75,0.25,1.0,0.5,0.25,0.25,0,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0
9,0.5,0.25,0.25,0.0,0.25,0.5,0.5,0.5,1.0,0.75,0.5,0,0.5,0.5,0.5,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.0
10,0.5,0.25,0.0,0.0,0.25,0.5,0.5,0.25,0.75,1.0,0.75,0,0.5,0.5,0.5,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0
11,0.25,0.25,0.25,0.25,0.5,0.5,1.0,0.25,0.5,0.75,1.0,0,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.75,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.5,0.5,0.25,0,1.0,1.0,0.25,0.25,0.25,0.75,0.5,0.0,0.25,0.25,0.0,0.0
14,0.75,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.5,0.5,0.25,0,1.0,1.0,0.5,0.25,0.25,0.75,0.75,0.0,0.25,0.25,0.25,0.0
15,0.25,0.25,0.0,0.0,0.25,0.25,0.25,0.25,0.5,0.5,0.25,0,0.25,0.5,1.0,0.5,0.25,0.75,0.75,0.75,0.5,0.5,0.25,0.75
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0,0.25,0.25,0.5,1.0,0.75,0.75,0.5,0.5,1.0,0.75,0.75,0.5
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0,0.25,0.25,0.25,0.75,1.0,0.5,0.25,0.25,0.5,0.5,0.5,0.25
18,0.5,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.5,0.25,0.25,0,0.75,0.75,0.75,0.75,0.5,1.0,1.0,0.25,0.5,0.5,0.5,0.25
19,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0,0.5,0.75,0.75,0.5,0.25,1.0,1.0,0.75,0.5,0.75,0.5,0.75
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0,0.0,0.0,0.75,0.5,0.25,0.25,0.75,1.0,0.5,0.75,0.5,1.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0,0.25,0.25,0.5,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0,0.25,0.25,0.5,0.75,0.5,0.5,0.75,0.75,1.0,1.0,0.5,0.75
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0,0.0,0.25,0.25,0.75,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.75,0.5,0.25,0.25,0.75,1.0,0.5,0.75,0.5,1.0
