cresta_zone,1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20
1,1.0,1.0,1.0,0.75,0.5,0.75,1.0,1.0,0.75,0.75,0.5,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,1.0,1.0,0.75,0.5,1.0,1.0,1.0,0.75,0.75,0.75,0.5,0.25,0.25,0.25,0.0,0.0,0.0,0.0
3,1.0,1.0,1.0,0.75,0.5,1.0,1.0,1.0,0.75,0.75,0.75,0.5,0.25,0.25,0.25,0.0,0.0,0.0,0.0
4,0.75,0.75,0.75,1.0,1.0,1.0,0.75,0.75,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.25,0.0,0.0,0.25
5,0.5,0.5,0.5,1.0,1.0,0.75,0.5,0.5,0.5,0.25,0.5,0.75,0.75,0.75,0.5,0.5,0.0,0.0,0.25
6,0.75,1.0,1.0,1.0,0.75,1.0,0.75,1.0,0.75,0.75,0.75,0.75,0.5,0.25,0.25,0.25,0.0,0.0,0.25
7,1.0,1.0,1.0,0.75,0.5,0.75,1.0,1.0,1.0,0.75,0.5,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0
8,1.0,1.0,1.0,0.75,0.5,1.0,1.0,1.0,1.0,0.75,0.75,0.5,0.25,0.25,0.25,0.0,0.0,0.0,0.0
9,0.75,0.75,0.75,0.5,0.5,0.75,1.0,1.0,1.0,1.0,0.75,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0
10,0.75,0.75,0.75,0.5,0.25,0.75,0.75,0.75,1.0,1.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.5,0.75,0.75,0.5,0.5,0.75,0.5,0.75,0.75,0.75,1.0,0.75,0.5,0.25,0.25,0.25,0.0,0.0,0.0
12,0.5,0.5,0.5,0.75,0.75,0.75,0.5,0.5,0.25,0.25,0.75,1.0,0.75,0.5,0.5,0.25,0.25,0.0,0.25
14,0.25,0.25,0.25,0.5,0.75,0.5,0.25,0.25,0.25,0.0,0.5,0.75,1.0,1.0,0.75,0.5,0.25,0.0,0.25
15,0.0,0.25,0.25,0.5,0.75,0.25,0.0,0.25,0.25,0.0,0.25,0.5,1.0,1.0,1.0,0.75,0.5,0.25,0.25
16,0.0,0.25,0.25,0.5,0.5,0.25,0.0,0.25,0.0,0.0,0.25,0.5,0.75,1.0,1.0,1.0,0.25,0.0,0.25
17,0.0,0.0,0.0,0.25,0.5,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.5,0.75,1.0,1.0,0.5,0.0,0.25
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.5,0.25,0.5,1.0,0.75,0.5
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75,1.0,0.5
20,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.5,0.5,1.0
