cresta_zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,1.0,0.5,0.75,0.5,0.5,0.25,0.5,0.5,0.25,0.25,0.25,0.25,0.5,0.75,0.5,0.75,0.5,0.25,0.25,0.25,0.0
2,0.5,1.0,0.5,0.5,0.5,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.5,0.75,0.5,0.75,0.5,0.25,0.25,0.25,0.25
3,0.75,0.5,1.0,0.75,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.5,0.75,0.75,0.75,0.75,0.5,0.25,0.5,0.25,0.25
4,0.5,0.5,0.75,1.0,0.75,0.25,0.5,0.5,0.25,0.25,0.5,0.75,0.5,0.75,0.5,0.75,0.5,0.25,0.5,0.25,0.0
5,0.5,0.5,0.5,0.75,1.0,0.5,0.5,0.5,0.5,0.25,0.5,0.5,0.75,0.75,0.5,0.75,0.5,0.25,0.5,0.25,0.0
6,0.25,0.25,0.5,0.25,0.5,1.0,0.5,0.25,0.25,0.25,0.5,0.5,0.25,0.5,0.25,0.5,0.25,0.0,0.25,0.0,0.0
7,0.5,0.25,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.25,0.25,0.25,0.5,0.75,0.25,0.75,0.25,0.25,0.25,0.25,0.0
8,0.5,0.5,0.5,0.5,0.5,0.25,0.5,1.0,0.25,0.0,0.25,0.25,0.5,0.75,0.5,0.5,0.25,0.25,0.25,0.25,0.0
9,0.25,0.25,0.25,0.25,0.5,0.25,0.5,0.25,1.0,0.25,0.25,0.25,0.5,0.5,0.25,0.5,0.25,0.0,0.25,0.0,0.0
10,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.25,1.0,0.5,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0
11,0.25,0.25,0.25,0.5,0.5,0.5,0.25,0.25,0.25,0.5,1.0,0.5,0.25,0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0
12,0.25,0.25,0.5,0.75,0.5,0.5,0.25,0.25,0.25,0.5,0.5,1.0,0.5,0.75,0.25,0.5,0.25,0.0,0.25,0.0,0.0
13,0.5,0.5,0.75,0.5,0.75,0.25,0.5,0.5,0.5,0.25,0.25,0.5,1.0,1.0,0.5,1.0,0.75,0.25,0.5,0.25,0.25
14,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.75,0.5,0.25,0.5,0.75,1.0,1.0,0.75,1.0,0.75,0.5,0.75,0.5,0.25
15,0.5,0.5,0.75,0.5,0.5,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.5,0.75,1.0,0.75,0.5,0.25,0.5,0.25,0.25
16,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.5,0.5,0.25,0.25,0.5,1.0,1.0,0.75,1.0,0.75,0.5,0.75,0.5,0.25
17,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.25,0.75,0.75,0.5,0.75,1.0,0.5,0.5,0.25,0.25
18,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.5,0.25,0.5,0.5,1.0,0.5,0.25,0.25
19,0.25,0.25,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.25,0.5,0.75,0.5,0.75,0.5,0.5,1.0,0.25,0.25
20,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.5,0.25,0.5,0.25,0.25,0.25,1.0,0.25
21,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.0
