cresta_zone,1,2,3,4,5,6,7,8,9,10,11
1,1.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2,0.75,1.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
3,0.75,0.75,1.0,1.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75
4,0.75,0.75,1.0,1.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75
5,0.75,0.75,0.75,0.75,1.0,0.75,0.75,0.75,0.75,0.75,0.75
6,0.75,0.75,0.75,0.75,0.75,1.0,1.0,0.75,0.75,0.75,0.75
7,0.75,0.75,0.75,0.75,0.75,1.0,1.0,0.75,0.75,0.75,0.75
8,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.0,0.75,0.75,0.75
9,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.0,0.75,0.75
10,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.0,0.75
11,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.0
