country_isocode,country,windstorm,earthquake,flood,hail,subsidence
AT,Austria,3.2,4.0,4.6,23.6,
BE,Belgium,1.6,3.3,3.8,3.9,
BG,Bulgaria,,1.5,7.5,,
CH,Switzerland,2.0,3.8,5.0,6.7,
CR,Croatia,,1.8,,,
CY,Cyprus,,2.0,,,
CZ,Czech Republic,1.9,11.3,4.8,5.7,
DE,Germany,2.9,8.1,6.0,55.9,
DK,Denmark,2.0,,,,
ES,Spain,2.5,,,16.7,
FI,Finland,7.9,,,,
FR,France*,4.8,23.4,6.2,27.6,6.3
HE,Greece,,7.2,,,
GU,Guadeloupe,1.0,1.0,,,
HU,Hungary,2.2,2.6,4.9,,
IE,Ireland,2.0,,,,
IS,Iceland,1.0,,,,
IT,Italy,,10.9,8.0,10.8,
LU,Luxembourg,1.0,,1.0,1.0,
MA,Martinique,1.0,1.0,,,
MT,Malta,,1.0,,,
NL,Netherlands,2.0,,,13.4,
NO,Norway,3.6,,,,
PL,Poland,3.6,,12.6,,
PT,Portugal,,4.6,,,
RE,Reunion,1.0,,,,
RO,Romania,,5.2,11.9,,
SE,Sweden,5.2,,,,
SI,Slovenia,1.4,1.7,2.7,3.7,
SK,Slovakia,,3.2,3.8,,
SM,St Martin,1.0,1.0,,,
UK,United Kingdom,6.1,,19.5,,
