id,ins_sector,s2id,s2model,sd_gross_pr,sd_resv,sd_net_pr
1,NL,1,mtpl,0.1,0.09,0.08
2,NL,2,mod,0.08,0.08,0.08
3,NL,3,mar,0.15,0.11,0.15
4,NL,4,prop,0.08,0.1,0.064
5,NL,5,liab,0.14,0.11,0.112
6,NL,6,cred,0.19,0.172,0.19
7,NL,7,lexp,0.083,0.055,0.083
8,NL,8,ass,0.064,0.22,0.064
9,NL,9,misc,0.13,0.2,0.13
10,NL,10,np_cas_re,0.17,0.2,0.17
11,NL,11,np_mar_re,0.17,0.2,0.17
12,NL,12,np_prop_re,0.17,0.2,0.17
13,H,1,med,0.05,0.057,0.05
14,H,2,ip,0.085,0.14,0.085
15,H,3,work,0.096,0.11,0.096
16,H,4,np_heal_re,0.17,0.17,0.17
